"MODZCTA","DATE","NEIGHBORHOOD_NAME","BOROUGH","Label","AGE_GROUP","POP_DENOMINATOR.x","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","POP_DENOMINATOR.y","COVID_DEATH_COUNT","COVID_DEATH_RATE"
10016,"2023-09-12","Kips Bay/Murray Hill/NoMad","Manhattan","10016","18+",47219.34,8358,47506,55864,30060,17344,17.7,100.61,118.31,63.66,36.73,18339,4535,22874,36020.9,44928.41,50912.11,121,237.66
10017,"2023-09-12","East Midtown/Murray Hill","Manhattan","10017","18+",14525.37,5029,16352,21381,9609,6306,34.62,112.58,147.2,66.15,43.41,5939,1648,7587,38038.16,48593.29,15613.27,51,326.65
10018,"2023-09-12","Hell's Kitchen/Midtown Manhattan","Manhattan","10018","18+",11074.47,8842,18673,27515,5159,3640,79.84,168.61,248.45,46.58,32.87,4407,1106,5513,37377.4,46757.8,11790.55,16,135.7
10019,"2023-09-12","Hell's Kitchen/Midtown Manhattan","Manhattan","10019, 10020","18+",40079.15,15216,49032,64248,26664,17244,37.96,122.34,160.3,66.53,43.02,16814,4259,21073,38632.98,48418.74,43522.4,126,289.51
10021,"2023-09-12","Lenox Hill/Upper East Side","Manhattan","10021","18+",39649.27,3961,34815,38776,25646,16228,9.99,87.81,97.8,64.68,40.93,11878,2900,14778,25891.79,32213.24,45875.54,139,302.99
10022,"2023-09-12","East Midtown","Manhattan","10022","18+",28093.47,5982,29076,35058,19294,13163,21.29,103.5,124.79,68.68,46.85,9401,2631,12032,30427.71,38943.33,30896.18,96,310.72
10023,"2023-09-12","Lincoln Square","Manhattan","10023","18+",53514.3,7259,51040,58299,36632,24930,13.56,95.38,108.94,68.45,46.59,19178,4032,23210,31041.16,37567.28,61782.48,165,267.07
10024,"2023-09-12","Upper West Side","Manhattan","10024","18+",48892.24,5228,44513,49741,33118,22155,10.69,91.04,101.74,67.74,45.31,16677,3828,20505,28550.61,35104.06,58412.05,193,330.41
10025,"2023-09-12","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","18+",78357.64,10141,70164,80305,48001,31476,12.94,89.54,102.49,61.26,40.17,30158,6241,36399,32916.42,39728.26,91619.93,487,531.54
10026,"2023-09-12","Central Harlem (South)","Manhattan","10026","18+",31433.75,3193,24744,27937,13666,6695,10.16,78.72,88.88,43.48,21.3,12703,2440,15143,32854.54,39165.26,38664.36,152,393.13
10027,"2023-09-12","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan","10027","18+",52767.1,7935,42334,50269,23260,11991,15.04,80.23,95.27,44.08,22.72,19663,4599,24262,31016.86,38271.43,63394.55,247,389.62
10028,"2023-09-12","Upper East Side/Yorkville","Manhattan","10028","18+",40085.88,3887,34679,38566,25627,16157,9.7,86.51,96.21,63.93,40.31,13346,4077,17423,28173.78,36780.44,47370.29,113,238.55
10029,"2023-09-12","East Harlem","Manhattan","10029","18+",62632.91,5956,55728,61684,29519,11697,9.51,88.98,98.48,47.13,18.68,28632,5385,34017,36602.19,43486.2,78224.82,492,628.96
10030,"2023-09-12","Central Harlem (North)","Manhattan","10030","18+",23158.57,2281,18254,20535,8816,3720,9.85,78.82,88.67,38.07,16.06,9270,1757,11027,31670.79,37673.55,29269.87,133,454.39
10031,"2023-09-12","Hamilton Heights/West Harlem","Manhattan","10031","18+",48898.28,4966,39522,44488,19401,7890,10.16,80.82,90.98,39.68,16.14,17389,4860,22249,29461.13,37695.14,59023.53,281,476.08
10032,"2023-09-12","Washington Heights (South)","Manhattan","10032","18+",52605.38,5295,42718,48013,21158,8177,10.07,81.2,91.27,40.22,15.54,18018,3778,21796,28576.81,34568.78,63051.12,343,544
10033,"2023-09-12","Washington Heights (North)/Washington Heights (South)","Manhattan","10033","18+",48322.89,4298,37796,42094,19540,7660,8.89,78.22,87.11,40.44,15.85,16614,4309,20923,28391.36,35754.93,58517.81,237,405
10034,"2023-09-12","Inwood/Washington Heights (North)","Manhattan","10034","18+",34453.5,2863,26891,29754,13486,5388,8.31,78.05,86.36,39.14,15.64,12195,2829,15024,28869.48,35566.63,42241.84,166,392.98
10035,"2023-09-12","East Harlem","Manhattan","10035","18+",28175.25,3346,25371,28717,12593,5082,11.88,90.05,101.92,44.7,18.04,12567,2588,15155,35661.15,43005.08,35240.03,287,814.41
10036,"2023-09-12","Hell's Kitchen/Midtown Manhattan","Manhattan","10036","18+",25289.35,13255,38136,51391,17501,10855,52.41,150.8,203.21,69.2,42.92,14208,3664,17872,52154.47,65604.21,27242.15,95,348.72
10037,"2023-09-12","Central Harlem (North)/East Harlem","Manhattan","10037","18+",17343.23,1297,13560,14857,7342,3124,7.48,78.19,85.66,42.33,18.01,7433,1188,8621,35746.98,41460.34,20793.37,151,726.19
10038,"2023-09-12","Chinatown/Financial District","Manhattan","10038","18+",20421.84,3532,19074,22606,11659,6361,17.3,93.4,110.7,57.09,31.15,6316,2198,8514,27623.52,37236.64,22864.58,81,354.26
10039,"2023-09-12","Central Harlem (North)/Washington Heights (South)","Manhattan","10039","18+",20884.26,2071,16992,19063,7872,3243,9.92,81.36,91.28,37.69,15.53,8182,1842,10024,30102.17,36879.02,27180.77,142,522.43
10040,"2023-09-12","Washington Heights (North)","Manhattan","10040","18+",36148.6,3073,28568,31641,14456,5596,8.5,79.03,87.53,39.99,15.48,13340,3294,16634,30341.41,37833.5,43966.32,293,666.42
10044,"2023-09-12","Roosevelt Island","Manhattan","10044","18+",9832,1396,9314,10710,6141,3445,14.2,94.73,108.93,62.46,35.04,3124,784,3908,26765.27,33482.29,11671.84,64,548.33
10065,"2023-09-12","Lenox Hill/Upper East Side","Manhattan","10065","18+",24466.3,3892,23330,27222,16131,10417,15.91,95.36,111.26,65.93,42.58,10073,2276,12349,36105.11,44263.08,27899.1,71,254.49
10069,"2023-09-12","Lincoln Square","Manhattan","10069","18+",5375.84,727,5396,6123,3724,2143,13.52,100.37,113.9,69.27,39.86,2458,557,3015,39111.7,47974.68,6284.56,5,79.56
10075,"2023-09-12","Lenox Hill/Upper East Side","Manhattan","10075, 10162","18+",19863.75,2465,20146,22611,14747,9408,12.41,101.42,113.83,74.24,47.36,7421,2157,9578,32202.91,41563.06,23044.5,107,464.32
10128,"2023-09-12","Upper East Side/Yorkville","Manhattan","10128","18+",49297.99,5493,46334,51827,33974,20668,11.14,93.99,105.13,68.92,41.92,17704,5507,23211,30232.86,39637.08,58558.8,153,261.28
10280,"2023-09-12","Battery Park City","Manhattan","10280","18+",7517.17,919,6419,7338,4544,2576,12.23,85.39,97.62,60.45,34.27,1964,653,2617,21013.85,28000.64,9346.22,10,107
10282,"2023-09-12","Battery Park City","Manhattan","10282","18+",4396.18,555,3703,4258,2563,1479,12.62,84.23,96.86,58.3,33.64,1230,306,1536,22074.88,27566.68,5571.94,3,53.84
10301,"2023-09-12","Silver Lake/St. George","Staten Island","10301","18+",30789.03,2713,27489,30202,14051,4858,8.81,89.28,98.09,45.64,15.78,15367,3347,18714,39498.82,48101.83,38904.96,281,722.27
10302,"2023-09-12","Elm Park","Staten Island","10302","18+",13841.82,1512,13080,14592,5308,1434,10.92,94.5,105.42,38.35,10.36,7893,2183,10076,42699.56,54509.15,18484.97,93,503.11
10303,"2023-09-12","Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","18+",19271.57,1651,17591,19242,7843,2089,8.57,91.28,99.85,40.7,10.84,11088,3024,14112,41821.64,53227.54,26512.59,122,460.16
10304,"2023-09-12","New Dorp/Todt Hill","Staten Island","10304","18+",32365.49,2806,29825,32631,14960,4297,8.67,92.15,100.82,46.22,13.28,17661,3393,21054,42163.57,50263.96,41886.87,392,935.85
10305,"2023-09-12","Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","18+",34316.79,2504,31195,33699,15686,4379,7.3,90.9,98.2,45.71,12.76,18654,3482,22136,43526.97,51651.82,42856.19,217,506.34
10306,"2023-09-12","Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island","10306","18+",42372.41,2509,39784,42293,20197,5647,5.92,93.89,99.81,47.67,13.33,25188,7025,32213,47698.39,61001.6,52806.81,389,736.65
